WorkYear,JobTitle,JobCategory,SalaryCurrency,Salary,SalaryInUsd,EmployeeResidence,ExperienceLevel,EmploymentType,WorkSetting,CompanyLocation,CompanySize
2023,Data DevOps Engineer,Data Engineering,EUR,88000,95012,Germany,Mid-level,Full-time,Hybrid,Germany,L
2023,Data Architect,Data Architecture and Modeling,USD,186000,186000,United States,Senior,Full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,81800,81800,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,212000,212000,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,93300,93300,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,100000,100000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Researcher,Machine Learning and AI,USD,224400,224400,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Researcher,Machine Learning and AI,USD,138700,138700,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,210000,210000,United States,Executive,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,168000,168000,United States,Executive,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,224400,224400,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,138700,138700,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,GBP,35000,43064,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,GBP,30000,36912,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Analyst,Data Analysis,USD,95000,95000,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,75000,75000,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,300000,300000,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,234000,234000,United States,Senior,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,140000,140000,United States,Mid-level,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,USD,120000,120000,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,155000,155000,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,110000,110000,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Mid-level,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Mid-level,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,273400,273400,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,182200,182200,United States,Senior,Full-time,In-person,United States,M
2023,BI Developer,BI and Visualization,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M
2023,BI Developer,BI and Visualization,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,185900,185900,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,129300,129300,United States,Senior,Full-time,In-person,United States,M
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000,United States,Mid-level,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600,United States,Mid-level,Full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,122000,122000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,94500,94500,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,247300,247300,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,139700,139700,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200,United States,Senior,Full-time,In-person,United States,M
